0,1,2,3,4,5,6
frame,frame_time,sum_time,frame_fps,avg_fps,num_detected_signs,detected_signs
166,0.0505575,14.452203399999998,19.8,11.5,0,[]
167,0.0504746,14.502677999999998,19.8,11.5,0,[]
168,0.0504829,14.553160899999998,19.8,11.5,0,[]
169,0.050377,14.603537899999997,19.9,11.6,0,[]
170,0.0501684,14.653706299999998,19.9,11.6,0,[]
171,0.0502291,14.703935399999997,19.9,11.6,0,[]
172,0.0501454,14.754080799999997,19.9,11.7,0,[]
173,0.0508262,14.804906999999996,19.7,11.7,0,[]
174,0.0504451,14.855352099999996,19.8,11.7,0,[]
175,0.0504798,14.905831899999995,19.8,11.7,0,[]
176,0.0502597,14.956091599999995,19.9,11.8,0,[]
177,0.0503144,15.006405999999995,19.9,11.8,0,[]
178,0.0487488,15.055154799999995,20.5,11.8,0,[]
179,0.050877,15.106031799999995,19.7,11.8,0,[]
180,0.0493628,15.155394599999996,20.3,11.9,0,[]
181,0.0500753,15.205469899999995,20.0,11.9,0,[]
182,0.0501848,15.255654699999996,19.9,11.9,0,[]
183,0.0503031,15.305957799999996,19.9,12.0,0,[]
184,0.049842,15.355799799999996,20.1,12.0,0,[]
185,0.0497091,15.405508899999996,20.1,12.0,0,[]
186,0.0499812,15.455490099999995,20.0,12.0,0,[]
187,0.0501977,15.505687799999995,19.9,12.1,0,[]
188,0.0499918,15.555679599999996,20.0,12.1,0,[]
189,0.0498899,15.605569499999996,20.0,12.1,0,[]
190,0.0500215,15.655590999999996,20.0,12.1,0,[]
191,0.0500066,15.705597599999995,20.0,12.2,0,[]
192,0.0503713,15.755968899999996,19.9,12.2,0,[]
193,0.0502177,15.806186599999995,19.9,12.2,0,[]
194,0.0489469,15.855133499999996,20.4,12.2,0,[]
195,0.0489974,15.904130899999995,20.4,12.3,0,[]
196,0.0486956,15.952826499999995,20.5,12.3,0,[]
197,0.0497909,16.002617399999995,20.1,12.3,0,[]
198,0.050117,16.052734399999995,20.0,12.3,0,[]
199,0.0504961,16.103230499999995,19.8,12.4,0,[]
200,0.0501852,16.153415699999996,19.9,12.4,0,[]
201,0.0498833,16.203298999999998,20.0,12.4,0,[]
202,0.0503858,16.2536848,19.8,12.4,0,[]
203,0.0503992,16.304084,19.8,12.5,0,[]
204,0.0500913,16.354175299999998,20.0,12.5,0,[]
205,0.050253,16.4044283,19.9,12.5,0,[]
206,0.0500704,16.4544987,20.0,12.5,0,[]
207,0.0502196,16.504718299999997,19.9,12.5,0,[]
208,0.0502766,16.554994899999997,19.9,12.6,0,[]
209,0.0503418,16.6053367,19.9,12.6,0,[]
210,0.0487321,16.654068799999997,20.5,12.6,0,[]
211,0.0487211,16.7027899,20.5,12.6,0,[]
212,0.0492085,16.751998399999998,20.3,12.7,0,[]
213,0.0497378,16.801736199999997,20.1,12.7,0,[]
214,0.0501188,16.851854999999997,20.0,12.7,0,[]
215,0.0500288,16.901883799999997,20.0,12.7,0,[]
216,0.0856239,16.9875077,11.7,12.7,1,['Arbeitsstelle']
217,0.0501744,17.037682099999998,19.9,12.7,0,[]
218,0.0872019,17.124883999999998,11.5,12.7,1,['Ende aller Geschw. Und ‹berholverbote']
219,0.0862554,17.211139399999997,11.6,12.7,1,['Fahrtrichtung geradeaus oder links']
220,0.050514,17.261653399999997,19.8,12.7,0,[]
221,0.0502382,17.311891599999996,19.9,12.8,0,[]
222,0.0502379,17.362129499999995,19.9,12.8,0,[]
223,0.050622,17.412751499999995,19.8,12.8,0,[]
224,0.048719,17.461470499999994,20.5,12.8,0,[]
225,0.0501642,17.511634699999995,19.9,12.8,0,[]
226,0.0488753,17.560509999999994,20.5,12.9,0,[]
227,0.0500398,17.610549799999994,20.0,12.9,0,[]
228,0.0504161,17.660965899999994,19.8,12.9,0,[]
229,0.0505839,17.711549799999993,19.8,12.9,0,[]
230,0.0502246,17.761774399999993,19.9,12.9,0,[]
231,0.0503953,17.812169699999995,19.8,13.0,0,[]
232,0.0504384,17.862608099999996,19.8,13.0,0,[]
233,0.0504762,17.913084299999994,19.8,13.0,0,[]
234,0.0501119,17.963196199999995,20.0,13.0,0,[]
235,0.0503089,18.013505099999996,19.9,13.0,0,[]
236,0.0501153,18.063620399999998,20.0,13.1,0,[]
237,0.0505788,18.114199199999998,19.8,13.1,0,[]
238,0.0505314,18.1647306,19.8,13.1,0,[]
239,0.0507553,18.215485899999997,19.7,13.1,0,[]
240,0.0488208,18.2643067,20.5,13.1,0,[]
241,0.0492336,18.3135403,20.3,13.2,0,[]
242,0.0503083,18.3638486,19.9,13.2,0,[]
243,0.0504209,18.4142695,19.8,13.2,0,[]
244,0.0503285,18.464598,19.9,13.2,0,[]
245,0.0504043,18.5150023,19.8,13.2,0,[]
246,0.0504448,18.5654471,19.8,13.3,0,[]
247,0.050387,18.6158341,19.8,13.3,0,[]
248,0.0506023,18.666436400000002,19.8,13.3,0,[]
249,0.0502537,18.7166901,19.9,13.3,0,[]
250,0.0502208,18.766910900000003,19.9,13.3,0,[]
251,0.0501844,18.817095300000002,19.9,13.3,0,[]
252,0.0501401,18.867235400000002,19.9,13.4,0,[]
253,0.0501834,18.917418800000004,19.9,13.4,0,[]
254,0.0504336,18.967852400000005,19.8,13.4,0,[]
255,0.0499905,19.017842900000005,20.0,13.4,0,[]
256,0.0485543,19.066397200000004,20.6,13.4,0,[]
257,0.0490466,19.115443800000005,20.4,13.4,0,[]
258,0.0498664,19.165310200000004,20.1,13.5,0,[]
259,0.0506674,19.215977600000002,19.7,13.5,0,[]
260,0.050303,19.2662806,19.9,13.5,0,[]
261,0.0503099,19.3165905,19.9,13.5,0,[]
262,0.0503636,19.3669541,19.9,13.5,0,[]
263,0.0506644,19.4176185,19.7,13.5,0,[]
264,0.0503126,19.4679311,19.9,13.6,0,[]
265,0.050244,19.5181751,19.9,13.6,0,[]
266,0.0507278,19.5689029,19.7,13.6,0,[]
267,0.0504046,19.6193075,19.8,13.6,0,[]
268,0.0504033,19.6697108,19.8,13.6,0,[]
269,0.0501542,19.719865000000002,19.9,13.6,0,[]
270,0.0502381,19.770103100000004,19.9,13.7,0,[]
271,0.0507173,19.820820400000002,19.7,13.7,0,[]
272,0.0491502,19.869970600000002,20.3,13.7,0,[]
273,0.0494298,19.9194004,20.2,13.7,0,[]
274,0.0499147,19.9693151,20.0,13.7,0,[]
275,0.0502312,20.0195463,19.9,13.7,0,[]
276,0.0501283,20.0696746,19.9,13.8,0,[]
277,0.0498392,20.1195138,20.1,13.8,0,[]
278,0.0503428,20.1698566,19.9,13.8,0,[]
279,0.0506042,20.220460799999998,19.8,13.8,0,[]
280,0.0505995,20.2710603,19.8,13.8,0,[]
281,0.0502041,20.321264399999997,19.9,13.8,0,[]
282,0.0502135,20.3714779,19.9,13.8,0,[]
283,0.0505568,20.422034699999998,19.8,13.9,0,[]
284,0.0504503,20.472485,19.8,13.9,0,[]
285,0.050585,20.52307,19.8,13.9,0,[]
286,0.0503758,20.573445800000002,19.9,13.9,0,[]
287,0.048989,20.6224348,20.4,13.9,0,[]
288,0.0490424,20.6714772,20.4,13.9,0,[]
289,0.0495297,20.721006900000003,20.2,13.9,0,[]
290,0.0504253,20.771432200000003,19.8,14.0,0,[]
291,0.0505727,20.822004900000003,19.8,14.0,0,[]
292,0.0505937,20.872598600000003,19.8,14.0,0,[]
293,0.0502135,20.922812100000005,19.9,14.0,0,[]
294,0.0500267,20.972838800000005,20.0,14.0,0,[]
295,0.0504866,21.023325400000004,19.8,14.0,0,[]
296,0.0504236,21.073749000000003,19.8,14.0,0,[]
297,0.0506123,21.124361300000004,19.8,14.1,0,[]
298,0.0500911,21.174452400000003,20.0,14.1,0,[]
299,0.0503213,21.224773700000004,19.9,14.1,0,[]
300,0.0499386,21.274712300000004,20.0,14.1,0,[]
301,0.0503634,21.325075700000003,19.9,14.1,0,[]
